row,col,value
1.800000000000000000e+01,3.900000000000000000e+01,3.769911184307751455e+02
3.900000000000000000e+01,3.900000000000000000e+01,-1.150000000000000000e+02
1.900000000000000000e+01,4.000000000000000000e+01,3.769911184307751455e+02
4.000000000000000000e+01,4.000000000000000000e+01,-3.500000000000000000e+00
2.000000000000000000e+01,4.100000000000000000e+01,3.769911184307751455e+02
4.100000000000000000e+01,4.100000000000000000e+01,-1.000000000000000000e+03
1.483000000000000000e+03,4.200000000000000000e+01,7.104614590087905412e-01
1.510000000000000000e+03,4.200000000000000000e+01,7.400881965035300825e-01
1.484000000000000000e+03,4.300000000000000000e+01,9.400592064257999869e-01
1.511000000000000000e+03,4.300000000000000000e+01,-4.437528999940279495e-01
1.485000000000000000e+03,4.400000000000000000e+01,2.693211213414131722e-01
1.512000000000000000e+03,4.400000000000000000e+01,9.720538608330550057e-01
1.486000000000000000e+03,4.500000000000000000e+01,-5.204534688313302571e-01
1.513000000000000000e+03,4.500000000000000000e+01,-8.640316901262823368e-01
1.487000000000000000e+03,4.600000000000000000e+01,8.950190450050369284e-01
1.514000000000000000e+03,4.600000000000000000e+01,-5.522989598108252185e-01
1.488000000000000000e+03,4.700000000000000000e+01,7.527381669405833753e-01
1.515000000000000000e+03,4.700000000000000000e+01,-7.263529929253568218e-01
1.489000000000000000e+03,4.800000000000000000e+01,2.824754992958888322e-01
1.516000000000000000e+03,4.800000000000000000e+01,9.916864593995395882e-01
1.490000000000000000e+03,4.900000000000000000e+01,1.028741430708331572e+00
1.517000000000000000e+03,4.900000000000000000e+01,-6.889775781215308481e-02
1.491000000000000000e+03,5.000000000000000000e+01,-3.847560730744505886e-01
1.518000000000000000e+03,5.000000000000000000e+01,9.592316988495110941e-01
1.492000000000000000e+03,5.100000000000000000e+01,-2.164403266435124540e-01
1.519000000000000000e+03,5.100000000000000000e+01,-9.548638883484945605e-01
1.493000000000000000e+03,5.200000000000000000e+01,-9.872559757689084448e-01
1.520000000000000000e+03,5.200000000000000000e+01,-5.784186603877653488e-01
